warehouse_code,item_code,sales_days,input_cd
1,251044,143,
1,251051,18,
1,261007,21,
1,261044,14,
1,261121,27,
1,261157,24,
1,261212,16,
1,261250,8,
1,261321,39,
1,261322,31,
1,261324,24,
1,261367,18,
1,261851,9,
1,261989,23,
1,262161,52,
1,262162,31,
1,262163,51,
1,262166,51,
1,262168,47,
1,262169,54,
1,262173,36,
1,262174,34,
1,262175,42,
1,262218,15,
1,262219,17,
1,262342,44,
1,262488,20,
1,262494,55,
1,284001,27,
1,284099,60,
1,284105,124,
1,284149,83,
1,284150,59,
1,284152,48,
1,284157,56,
1,284168,50,
1,284183,21,
1,284195,40,
1,284196,37,
1,284233,22,
1,284234,36,
1,284235,27,
1,284295,19,
1,284304,32,
1,284309,9,
1,284325,120,
1,284354,48,
1,284356,40,
1,284388,100,
1,284389,55,
1,284390,101,
1,284397,43,
1,284399,77,
1,284413,25,
1,284414,22,
1,284596,57,
1,284625,33,
1,284626,100,
1,284680,32,
1,284685,11,
1,284695,60,
1,284711,43,
1,284712,25,
1,284746,45,
1,284763,52,
1,284765,73,
1,284766,71,
1,284768,26,
1,284769,39,
1,284773,10,
1,284861,55,
1,284923,39,
1,284931,49,
1,284933,103,
1,284934,65,
1,284937,124,
1,286022,7,
1,286095,43,
1,286119,7,
1,286157,19,
1,286158,19,
1,286210,17,
1,286212,13,
1,286256,42,
1,286265,34,
1,286299,13,
1,286305,15,
1,286306,9,
1,286310,14,
1,286323,19,
1,286327,15,
1,286328,25,
1,286416,17,
1,286448,41,
1,286507,14,
1,286557,28,
1,286663,12,
1,286683,12,
1,286684,11,
1,286692,7,
1,286696,6,
1,286719,18,
1,286720,19,
1,286778,19,
1,286789,14,
1,287068,67,
1,287080,22,
1,287085,34,
1,287086,45,
1,287087,37,
1,287111,54,
1,287117,105,
1,287169,53,
1,287202,69,
1,287203,48,
1,287268,18,
1,287293,109,
1,287294,112,
1,287298,83,
1,287314,21,
1,287327,60,
1,287330,27,
1,287331,26,
1,287334,21,
1,287357,48,
1,287358,34,
1,287359,17,
1,312107,11,
1,410000,139,
1,410109,6,
1,411012,16,
1,412006,10,
1,470012,6,
1,471001,71,
1,471002,53,
1,522001,12,
1,522002,23,
1,523001,11,
1,621043,27,
1,621052,62,
1,621095,24,
1,621109,22,
1,621332,50,
1,621363,42,
1,632090,28,
1,633354,59,
1,633418,58,
1,633528,34,
1,633563,26,
1,633565,36,
1,641496,35,
1,641532,29,
1,810000,95,
10,111001,23,
10,111048,24,
10,111099,52,
10,111116,77,111116
10,111179,12,
10,111239,70,111239
10,111263,22,
10,111338,9,
10,111344,7,
10,111498,24,
10,112037,37,
10,112086,169,112086
10,112110,11,
10,112115,97,112115
10,112130,26,
10,112159,22,
10,112199,62,
10,112219,15,
10,112266,16,
10,112278,77,112278
10,112291,28,112291
10,112314,61,112314
10,112341,21,
10,112417,16,
10,112545,45,112545
10,112549,19,
10,112561,20,112561
10,112572,14,
10,112589,16,112589
10,112601,48,112601
10,112607,22,
10,112609,14,112609
10,112641,7,
10,112727,73,112727
10,112729,19,112729
10,112730,23,
10,112732,43,112732
10,112733,61,112733
10,112735,41,112735
10,112736,19,112736
10,112738,70,112738
10,112777,16,
10,112780,21,
10,112783,10,
10,112784,42,112784
10,112785,6,
10,112786,38,112786
