status,warehouse_code,item_code,item_name,wms_shelf,expected_oracle_shelf,oracle_shelves,lot_count,total_lot_current,total_lot_available,oracle_products
match,91,151432,　サントリー　酸化防止剤無添加美味しいワイン　濃い赤　１．８Ｌ,Q00000,Q00000,Q00000,1,1,1,151432000:Q00000:0:1021:0
match,91,151445,　サントネージュ　やわらぎ赤３００ｍｌ（秋吉様専用）,L20102,L20102,L20102,1,1674,1674,151445000:L20102:0:1772:1716
match,91,151450,　ルミエール　石蔵和飲　７５０ｍｌ,I08307,I08307,I08307,1,3,3,151450000:I08307:0:1502:3
match,91,151664,　サッポロ　グランポレール　エスプリドジャポネ絢　７２０ｍｌ　,I05105,I05105,I05105,1,3,3,151664000:I05105:0:1202:3
match,91,152001,　ハートリーフ　カベルネシラー　３Ｌ,F02214,F02214,F02214,2,9,10,152001000:F02214:0:1202:7
match,91,152010,　フランジア　バッグインボックス　ダークレッド（赤）３Ｌ,E09102,E09102,E09102,2,9,9,152010000:E09102:0:1330:10
match,91,152018,　デュブフボージョレヴィラージュ　３７５ｍｌ,I15403,I15403,I15403,1,3,3,152018000:I15403:0:1021:3
match,91,152020,　ルヴトゥリ　ミュスカデ　シュール　リー　７５０ｍｌ,I05101,I05101,I05101,1,3,1,152020000:I05101:0:1138:3
match,91,152036,　ハートリーフ　シャルドネ　３Ｌ,F02202,F02202,F02202,2,24,24,152036000:F02202:0:1202:16
match,91,152076,　ムートンカデ　ブラン　７５０ｍｌ,I07206,I07206,I07206,1,17,17,152076000:I07206:0:1002:17
match,91,152077,　ムートンカデ　ルージュ　７５０ｍｌ,I09212,I09212,I09212,1,10,10,152077000:I09212:0:1002:15
match,91,152088,　ヒューゲル　リースリング　クラシック　７５０ｍｌ,I04209,I04209,I04209,1,13,13,152088000:I04209:0:1456:13
match,91,152121,　ＬＬ　ブルゴーニュ　キュヴェラトゥール　ルージュ　７５０,I06305,I06305,I06305,1,21,21,152121000:I06305:0:1002:23
match,91,152122,　ＬＬ　ブルゴーニュ　キュヴェラトゥール　ブラン　７５０,I13411,I13411,I13411,1,8,8,152122000:I13411:0:1002:8
match,91,152129,　ＬＬ　アルディッシュシャルドネ　７５０ｍｌ,I13410,I13410,I13410,1,8,8,152129000:I13410:0:1002:8
match,91,152147,　ディーレ　モスカートダスティ　７５０ｍｌ,I05111,I05111,I05111,1,3,3,152147000:I05111:0:1138:3
match,91,152193,　トーレス　サングレ　デ　トロ　白　３７５ｍｌ,L19105,L19105,L19105,1,7,7,152193000:L19105:0:1002:7
match,91,152197,　トーレス　サングレ　デ　トロ　赤　３７５ｍｌ,L19104,L19104,L19104,1,19,19,152197000:L19104:0:1002:19
match,91,152200,　ムートンカデ　ルージュ　３７５ｍｌ,I05408,I05408,I05408,1,22,20,152200000:I05408:0:1002:26
match,91,152234,　シャトーカロンセギュール　７５０ｍｌ,I14405,I14405,I14405,1,4,4,152234000:I14405:0:1313:4
match,91,152237,　ＬＬ　コルトンシャルルマーニュ　’２０　７５０ｍｌ,I14410,I14410,I14410,1,4,4,152237000:I14410:0:1002:4
