lot_id,real_stock_id,item_id,item_code,item_name,status,current_quantity,reserved_quantity,purchase_id,trade_item_id,old_floor_id,old_location_id,old_shelf,oracle_status,expected_oracle_shelf,oracle_products,patch_status,patch_message,new_location_id,created_location,replacement_reduced_qty,replacement_lot_ids,reservation_updates,picking_result_updates,shortage_updates
51032,37386,142859,142859,　キリン　グッドエール３５０ｍｌ,ACTIVE,1584,0,4,563,10,443,AI302K,single_oracle_shelf,AI302K,142859000:AI302K:0:1330:1224|142859100:AI302K:::1224|142859900:AI302K:::1224,skipped,already_matches,,,0,,0,0,0
23666,23723,185522,185522,　キリン　氷結　無糖レモン　Ａｌｃ．７％　３５０ｍｌ,ACTIVE,1584,1,,,10,469,AP1037,single_oracle_shelf,AP1037,185522000:AP1037:0:1330:2868|185522100:AP1037:::2868|185522900:AP1037:::2868,skipped,already_matches,,,0,,0,0,0
51040,21765,184658,184658,　キリン　氷結　レモン３５０ｍｌ,ACTIVE,1518,48,4,571,10,214,AP201R,single_oracle_shelf,AP201R,184658000:AP201R:0:1330:1145|184658100:AP201R:::1145|184658200:AP201R:::1145|184658900:AP201R:::1145|184658901:AP201R:::1145,skipped,already_matches,,,0,,0,0,0
33550,33724,213111,213111,　アサヒ　バヤリース　オレンジ　瓶２００ｍｌ,ACTIVE,1458,0,,,11,2404,L04101,single_oracle_shelf,L04101,213111000:L04101:0:1021:1500|213111900:L04101:::1500,skipped,already_matches,,,0,,0,0,0
40296,40586,147271,147271,　サントリー　金麦　ザ・ラガー３５０ｍｌ,ACTIVE,1416,0,,,10,442,AI301U,single_oracle_shelf,AI301U,147271000:AI301U:0:1021:3096|147271100:AI301U:::3096|147271800:AI301U:::3096|147271900:AI301U:::3096,skipped,already_matches,,,0,,0,0,0
29458,29610,211260,211260,　サントリー　オールフリー３３４ｍｌ小瓶,ACTIVE,1393,0,,,10,361,AD201U,single_oracle_shelf,AD201U,211260000:AD201U:0:1021:1535|211260900:AD201U:::1535,skipped,already_matches,,,0,,0,0,0
27437,27571,211064,211064,　三ツ矢サイダー瓶２００ｍｌ,ACTIVE,1387,3,,,11,2754,L03101,manual_multiple_oracle_shelves,B08103|L03101,211064000:L03101:0:1021:1419|211064900:B08103:::1419,skipped,manual_multiple_oracle_shelves,,,0,,0,0,0
43881,44220,118788,118788,　成政吟醸酒　生３００ｍｌ（秋吉様専用）,ACTIVE,1349,0,,,11,2463,L20101,single_oracle_shelf,L20101,118788000:L20101:0:1772:1350,skipped,already_matches,,,0,,0,0,0
53592,37395,143007,143007,◎キリン麒麟淡麗＜生＞５００ｍｌ,ACTIVE,1344,0,512,27004,10,449,AJ105K,single_oracle_shelf,AJ105K,143007000:AJ105K:0:1330:2760|143007100:AJ105K:::2760|143007900:AJ105K:::2760|143007901:AJ105K::1330:2760,skipped,already_matches,,,0,,0,0,0
53590,37408,143060,143060,◎キリン　一番搾り５００ｍｌ,ACTIVE,1344,0,512,27002,10,448,AJ104K,single_oracle_shelf,AJ104K,143060000:AJ104K:0:1330:3192|143060100:AJ104K:::3192|143060900:AJ104K:::3192|143060901:AJ104K::1330:3192,skipped,already_matches,,,0,,0,0,0
