location_source,item_id,item_code,mysql_item_name,real_stock_id,source_id,lot_status,lot_current_quantity,lot_reserved_quantity,location_id,location_floor_id,mysql_shelf,mysql_shelf_norm,location_name
lot,156959,156959,　タヴェルネッロ　オルガニコ　トレッビアーノシャルドネ　７５０ｍｌ,31615,31457,ACTIVE,1,0,1915,11,I-03-418,I03418,I03418
lot,156962,156962,　コセチャ　ソービニヨンブラン　７５０ｍｌ,52616,55869,ACTIVE,120,0,327,11,Z-0-0,Z00,デフォルト
default,156969,156969,×ブシャールＰ＆Ｆ　ブルゴーニュピノノワールラヴィニェ　７５０ｍｌ,,22218,,,,327,11,Z-0-0,Z00,デフォルト
default,156986,156986,　ハウスワイン　赤　７５０ｍｌ,,12520,,,,1946,11,I-04-301,I04301,I04301
lot,156986,156986,　ハウスワイン　赤　７５０ｍｌ,31616,31458,ACTIVE,8,0,1946,11,I-04-301,I04301,I04301
default,156987,156987,　ジャンロロン　ボージョレヴィラージュヌーヴォー　リフト６９　７５０ｍｌ,,59973,,,,2939,10,YBN-00-000,YBN00000,YBN000
default,157002,157002,　ボルサオ　クラシコ　ブランコ　７５０ｍｌ,,31280,,,,327,11,Z-0-0,Z00,デフォルト
default,157018,157018,　バローネコルナッキア　モンテプルチアーノ　ダブルッツォ　７５０ｍｌ,,38457,,,,1885,11,I-03-208,I03208,I03208
lot,157018,157018,　バローネコルナッキア　モンテプルチアーノ　ダブルッツォ　７５０ｍｌ,31617,31459,ACTIVE,8,0,1885,11,I-03-208,I03208,I03208
default,157025,157025,　サンタヘレナ　アルパカ　カベルネメルロ　７５０ｍｌ,,6248,,,,327,11,Z-0-0,Z00,デフォルト
lot,157025,157025,　サンタヘレナ　アルパカ　カベルネメルロ　７５０ｍｌ,31618,55946,ACTIVE,31,0,327,11,Z-0-0,Z00,デフォルト
default,157053,157053,　サルバラータ　コルヴォ　ビアンコ　７５０ｍｌ,,31338,,,,1924,11,I-03-518,I03518,I03518
lot,157053,157053,　サルバラータ　コルヴォ　ビアンコ　７５０ｍｌ,31619,31460,ACTIVE,5,0,1924,11,I-03-518,I03518,I03518
default,157057,157057,　エンリケッシュ　マデイラ　フルリッチ　７５０ｍｌ,,8010,,,,2046,11,I-06-207,I06207,I06207
