item_code,parent_current_quantity,oracle_shelves,oracle_stock_shelves,mysql_default_shelves,mysql_nonzero_lot_shelves,issue
154895,6,,,Z00,Z00,mysql_location_but_oracle_no_shelf
155005,2,,,,Z00,mysql_location_but_oracle_no_shelf
155030,5,,,Z00,Z00,mysql_location_but_oracle_no_shelf
155083,4,,,Z00,Z00,mysql_location_but_oracle_no_shelf
155110,10,,,Z00,Z00,mysql_location_but_oracle_no_shelf
155142,3,,,Z00,Z00,mysql_location_but_oracle_no_shelf
155166,17,,,Z00,Z00,mysql_location_but_oracle_no_shelf
155187,3,,,Z00,Z00,mysql_location_but_oracle_no_shelf
155209,1,,,Z00,Z00,mysql_location_but_oracle_no_shelf
155249,,,,Z00,,mysql_location_but_oracle_no_shelf
155253,21,,,Z00,Z00,mysql_location_but_oracle_no_shelf
155254,3,,,Z00,Z00,mysql_location_but_oracle_no_shelf
155271,9,,,Z00,Z00,mysql_location_but_oracle_no_shelf
155343,1,,,Z00,Z00,mysql_location_but_oracle_no_shelf
155346,12,,,Z00,Z00,mysql_location_but_oracle_no_shelf
155348,4,,,Z00,Z00,mysql_location_but_oracle_no_shelf
155359,2,,,Z00,Z00,mysql_location_but_oracle_no_shelf
155400,3,,,,Z00,mysql_location_but_oracle_no_shelf
155406,18,,,Z00,Z00,mysql_location_but_oracle_no_shelf
155408,1,,,Z00,Z00,mysql_location_but_oracle_no_shelf
155411,13,,,Z00,Z00,mysql_location_but_oracle_no_shelf
155423,,,,Z00,,mysql_location_but_oracle_no_shelf
155434,10,,,Z00,Z00,mysql_location_but_oracle_no_shelf
155441,6,,,Z00,Z00,mysql_location_but_oracle_no_shelf
155455,12,,,Z00,Z00,mysql_location_but_oracle_no_shelf
155473,3,,,Z00,Z00,mysql_location_but_oracle_no_shelf
155492,3,,,Z00,Z00,mysql_location_but_oracle_no_shelf
155499,9,,,Z00,Z00,mysql_location_but_oracle_no_shelf
155503,3,,,Z00,Z00,mysql_location_but_oracle_no_shelf
155510,7,,,Z00,Z00,mysql_location_but_oracle_no_shelf
155546,2,,,,Z00,mysql_location_but_oracle_no_shelf
155569,12,,,Z00,Z00,mysql_location_but_oracle_no_shelf
155571,7,,,Z00,Z00,mysql_location_but_oracle_no_shelf
155582,1,,,Z00,Z00,mysql_location_but_oracle_no_shelf
155586,11,,,Z00,Z00,mysql_location_but_oracle_no_shelf
155591,1,,,Z00,Z00,mysql_location_but_oracle_no_shelf
155600,1,,,Z00,Z00,mysql_location_but_oracle_no_shelf
155611,6,,,Z00,Z00,mysql_location_but_oracle_no_shelf
155621,10,,,Z00,Z00,mysql_location_but_oracle_no_shelf
155650,10,,,Z00,Z00,mysql_location_but_oracle_no_shelf
155661,1,,,,Z00,mysql_location_but_oracle_no_shelf
155694,2,,,Z00,Z00,mysql_location_but_oracle_no_shelf
155718,1,,,Z00,Z00,mysql_location_but_oracle_no_shelf
155743,2,,,,Z00,mysql_location_but_oracle_no_shelf
155762,,,,Z00,,mysql_location_but_oracle_no_shelf
155764,3,,,Z00,Z00,mysql_location_but_oracle_no_shelf
155770,,,,Z00,,mysql_location_but_oracle_no_shelf
155783,8,,,Z00,Z00,mysql_location_but_oracle_no_shelf
155786,2,,,Z00,Z00,mysql_location_but_oracle_no_shelf
155802,1,,,,Z00,mysql_location_but_oracle_no_shelf
155803,72,,,,Z00,mysql_location_but_oracle_no_shelf
155850,1,,,,Z00,mysql_location_but_oracle_no_shelf
155893,5,,,Z00,Z00,mysql_location_but_oracle_no_shelf
155965,2,,,Z00,Z00,mysql_location_but_oracle_no_shelf
156104,6,,,,Z00,mysql_location_but_oracle_no_shelf
156122,7,,,Z00,Z00,mysql_location_but_oracle_no_shelf
156375,,,,Z00,,mysql_location_but_oracle_no_shelf
156478,2,,,Z00,Z00,mysql_location_but_oracle_no_shelf
156498,1,,,Z00,Z00,mysql_location_but_oracle_no_shelf
156589,3,,,,Z00,mysql_location_but_oracle_no_shelf
156631,20,,,Z00,Z00,mysql_location_but_oracle_no_shelf
156639,12,,,,Z00,mysql_location_but_oracle_no_shelf
156643,21,,,,Z00,mysql_location_but_oracle_no_shelf
156663,10,,,Z00,Z00,mysql_location_but_oracle_no_shelf
156685,6,,,,Z00,mysql_location_but_oracle_no_shelf
156693,6,,,,Z00,mysql_location_but_oracle_no_shelf
