store_code,item_code,product_code,oracle_shelf,oracle_shelf_norm,sales_flag,vendor_cd,oracle_current_stock
91,111416,111416000,,,0,1021,0
91,111417,111417000,,,0,1002,0
91,111418,111418000,,,0,0000,0
91,111419,111419000,,,0,0000,0
91,111420,111420000,,,0,1202,0
91,111421,111421000,W05205,W05205,0,1202,180
91,111422,111422000,E06207,E06207,0,1202,1
91,111423,111423000,,,0,1761,0
91,111424,111424000,,,0,1330,0
91,111425,111425000,,,0,1330,0
91,111426,111426000,,,0,1202,0
91,111427,111427000,,,0,1202,0
91,111428,111428000,,,0,1202,0
91,111429,111429000,,,0,1021,0
91,111430,111430000,,,0,1202,0
91,111431,111431000,,,0,9012,0
91,111432,111432000,,,0,1330,0
91,111433,111433000,,,0,1202,0
91,111434,111434000,,,0,9012,0
91,111435,111435000,,,0,0000,0
91,111436,111436000,,,0,1330,0
91,111437,111437000,,,0,1330,0
91,111438,111438000,,,0,1202,0
91,111439,111439000,,,0,1021,0
91,111440,111440000,,,0,1202,0
91,111441,111441000,,,0,1202,0
91,111442,111442000,,,0,1002,0
91,111443,111443000,,,0,1202,0
91,111444,111444000,,,0,1330,0
91,111445,111445000,,,0,1202,0
91,111446,111446000,,,0,1444,0
91,111447,111447000,,,0,1330,0
91,111448,111448000,,,0,1021,0
91,111449,111449000,,,0,1761,0
91,111450,111450000,,,0,1202,0
91,111451,111451000,,,0,1202,0
91,111452,111452000,,,0,1761,0
91,111453,111453000,,,0,1202,0
91,111454,111454000,,,0,9999,0
91,111455,111455000,,,0,1202,0
91,111456,111456000,,,0,1021,0
91,111457,111457000,,,0,1021,0
91,111458,111458000,,,0,1021,0
91,111459,111459000,,,0,1202,0
91,111460,111460000,,,0,1672,0
91,111461,111461000,,,0,1202,0
91,111462,111462000,,,0,1330,0
91,111463,111463000,,,0,1021,0
91,111464,111464000,,,0,1021,0
91,111465,111465000,,,0,1330,0
91,111466,111466000,,,0,1330,0
91,111467,111467000,,,0,1021,0
91,111468,111468000,,,0,1021,0
91,111469,111469000,E09310,E09310,0,1021,9
91,111470,111470000,E08107,E08107,0,1021,17
91,111471,111471000,F01317,F01317,0,1021,2
91,111472,111472000,,,0,1021,0
91,111473,111473000,,,0,1202,0
91,111474,111474000,,,0,1330,0
91,111475,111475000,,,0,1330,0
91,111476,111476000,,,0,1021,0
91,111477,111477000,R02206,R02206,0,1202,48
91,111478,111478000,,,0,1021,0
91,111479,111479000,,,0,1021,0
91,111480,111480000,,,0,1021,0
91,111481,111481000,,,0,1202,0
91,111482,111482000,,,0,1202,0
91,111483,111483000,,,0,1202,0
91,111484,111484000,,,0,1202,0
91,111485,111485000,,,0,1202,0
91,111486,111486000,,,0,1202,0
91,111487,111487000,,,0,1330,0
91,111488,111488000,,,0,1330,0
91,111489,111489000,,,0,1021,0
91,111490,111490000,YX0000,YX0000,0,1202,0
91,111491,111491000,,,0,1330,0
91,111492,111492000,,,0,1330,0
91,111494,111494000,,,0,1202,0
91,111495,111495000,,,0,1021,0
91,111496,111496000,,,0,1021,0
91,111497,111497000,,,0,1021,0
91,111498,111498000,,,0,1021,0
91,111499,111499000,,,0,1202,0
91,111500,111500000,,,0,1202,0
91,111501,111501000,,,0,1021,0
91,111502,111502000,,,0,1202,0
91,111503,111503000,,,0,1202,0
91,111504,111504000,,,0,1021,0
91,111505,111505000,,,0,1021,0
91,111506,111506000,,,0,1021,0
91,111507,111507000,,,0,1202,0
91,111508,111508000,,,0,1202,0
91,111509,111509000,,,0,1021,0
91,111510,111510000,,,0,1021,0
91,111511,111511000,,,0,1021,0
91,111512,111512000,,,0,1006,0
91,111513,111513000,,,0,1021,0
91,111514,111514000,,,0,1202,0
91,111515,111515000,,,0,1202,0
91,111516,111516000,,,0,1021,0
91,111856,111856000,,,0,1330,0
91,111897,111897000,,,0,1021,15
91,111919,111919000,,,0,1330,0
91,111945,111945000,,,0,1202,0
91,111961,111961000,,,0,1330,0
91,111970,111970000,,,0,1330,0
91,111986,111986000,Q00000,Q00000,0,1202,0
91,111989,111989000,,,0,1330,0
91,111993,111993000,,,0,1021,0
91,112001,112001000,E06206,E06206,0,1370,5
91,112002,112002000,,,0,1825,0
91,112003,112003000,,,0,9012,0
91,112004,112004000,,,0,1021,0
91,112005,112005000,,,0,1021,0
91,112006,112006000,,,0,1264,0
91,112007,112007000,,,0,1679,0
91,112008,112008000,,,0,1021,0
91,112009,112009000,,,0,9012,0
91,112010,112010000,,,0,1263,0
91,112011,112011000,YX0000,YX0000,0,1202,0
91,112012,112012000,,,0,1264,0
91,112013,112013000,AW0000,AW0000,0,1370,0
91,112014,112014000,,,0,1021,0
91,112015,112015000,,,0,1021,0
91,112016,112016000,,,0,1021,0
91,112017,112017000,Q00000,Q00000,0,1460,0
91,112018,112018000,F07105,F07105,0,1460,9
91,112019,112019000,,,0,1021,0
91,112020,112020000,G06303,G06303,0,1460,12
91,112021,112021000,,,0,1021,0
91,112022,112022000,,,0,1013,0
91,112023,112023000,,,0,1539,0
91,112024,112024000,,,0,1264,0
91,112025,112025000,,,0,1021,0
91,112025,112025200,C07202,C07202,,,0
91,112025,112025300,C07202,C07202,,,0
91,112025,112025900,C07202,C07202,,,0
91,112026,112026000,,,0,1021,0
91,112027,112027000,YX0000,YX0000,0,1202,0
91,112028,112028000,,,0,1202,0
91,112029,112029000,G05302,G05302,0,1512,0
91,112030,112030000,G07402,G07402,0,1263,12
91,112031,112031000,,,0,1021,0
91,112032,112032000,,,0,1511,0
91,112033,112033000,,,0,9999,0
91,112034,112034000,,,0,1021,0
91,112035,112035000,,,0,1021,0
91,112036,112036000,,,0,1741,0
91,112037,112037000,P16101,P16101,0,1741,41
91,112037,112037001,W02102,W02102,0,1021,41
91,112037,112037900,W02102,W02102,,,41
91,112038,112038000,,,0,1021,0
91,112039,112039000,Q00000,Q00000,0,1460,0
91,112040,112040000,YX0000,YX0000,0,1021,0
91,112041,112041000,,,0,1202,0
91,112042,112042000,,,0,1572,0
91,112043,112043000,,,0,1511,0
91,112044,112044000,,,0,1021,0
91,112044,112044900,,,,1021,0
91,112045,112045000,,,0,1012,0
91,112046,112046000,,,0,1514,0
91,112047,112047000,W06110,W06110,0,1021,1
91,112048,112048000,,,0,0000,0
91,112049,112049000,,,0,1013,0
91,112051,112051000,,,0,1202,0
91,112052,112052000,Q00000,Q00000,0,1370,0
91,112054,112054000,,,0,1202,0
91,112055,112055000,,,0,1021,0
91,112056,112056000,W02201,W02201,0,1514,103
91,112057,112057000,,,0,1511,0
91,112059,112059000,W06105,W06105,0,1512,2
91,112060,112060000,,,0,1512,0
91,112061,112061000,AW0000,AW0000,0,9999,0
91,112062,112062000,,,0,1511,0
91,112063,112063000,W02303,W02303,0,1514,2
91,112065,112065000,,,0,1021,0
91,112066,112066000,,,0,1013,0
91,112067,112067000,,,0,1202,0
91,112068,112068000,,,0,1021,0
91,112069,112069000,,,0,1202,0
91,112070,112070000,,,0,1511,0
91,112071,112071000,,,0,1202,0
91,112071,112071100,AW0000,AW0000,,,0
91,112071,112071900,AW0000,AW0000,,,0
91,112072,112072000,,,0,1202,0
91,112073,112073000,YX0000,YX0000,0,1511,0
91,112074,112074000,,,0,1021,0
91,112075,112075000,,,0,1013,0
91,112076,112076000,,,0,1370,0
