real_stock_id	item_id	item_code	item_name	current_quantity	reserved_quantity	available_quantity	patch_location_id	patch_floor_id	patch_location_code
21720	154895	154895	　フィリップ　ル　アルディ　サン　トーバン　ブラン　７５０ｍｌ	6	0	6	10	10	ZZ-1
25554	123486	123486	　２５°女帝　麦１．８Ｌ	6	0	6	327	10	Z-0-0
25612	155441	155441	　ポンパドール　チェリー　７５０ｍｌ	6	0	6	10	10	ZZ-1
25633	155611	155611	　ペリエジュエ　ベルエポック　フロレサンス　７５０ｍｌ	6	0	6	10	10	ZZ-1
27454	131264	131264	　サントリー　レッド　１８０ｍｌ	6	0	6	10	10	ZZ-1
27492	156104	156104	　モンダヴィ　ウッドブリッジ　シャルドネ　７５０ｍｌ	6	0	6	327	10	Z-0-0
29567	156685	156685	×ヴィーニャドリア　赤　７５０ｍｌ	6	0	6	327	10	Z-0-0
29568	156693	156693	　ヴィーニャドリア　白　７５０ｍｌ	6	0	6	327	10	Z-0-0
31598	132899	132899	　ボウモア１２年　７００ｍｌ	6	0	6	10	10	ZZ-1
35630	142453	142453	　サントリー　東京クラフト　フルーティーエール３５０ｍｌ	6	0	6	327	10	Z-0-0
35646	157848	157848	×ロスガンソス　ピノノワール　７５０ｍｌ	6	0	6	10	10	ZZ-1
35706	213543	213543	　ポン　グレープジュース８００ｍｌペット	6	0	6	10	10	ZZ-1
40522	112792	112792	　飛鳥井　純米吟醸　山田錦７２０ｍｌ	6	0	6	10	10	ZZ-1
42436	114288	114288	　菊正宗　上撰　さけパック　生もと辛口２Ｌ	6	0	6	327	10	Z-0-0
44202	118201	118201	　初孫生もと純米本辛口　魔斬７２０ｍｌ（まきり）	6	0	6	327	10	Z-0-0
44244	119176	119176	　越の磯　越前忘憂　純米酒７２０ｍｌ	6	0	6	10	10	ZZ-1
46064	119622	119622	　永平寺白龍　米てきてき３００ｍｌ	6	0	6	327	10	Z-0-0
46065	119623	119623	　永平寺白龍　水てきてき３００ｍｌ	6	0	6	327	10	Z-0-0
46066	119624	119624	　永平寺白龍　土てきてき３００ｍｌ	6	0	6	327	10	Z-0-0
46067	119625	119625	　一本義　大吟醸　事無笑酒　Ｒｅｇａｌｏ７２０ｍｌ（レガロ）　※直送・卸不可	6	0	6	10	10	ZZ-1
46082	119718	119718	　真名鶴　純米大吟醸　奏雨３００ｍｌ	6	0	6	10	10	ZZ-1
46206	172042	172042	　ボルス　ストロベリー７００ｍｌ	6	0	6	10	10	ZZ-1
48352	181314	181314	　東肥　本伝赤酒　１．８Ｌ	6	0	6	10	10	ZZ-1
50413	153716	153716	　ヴィアヘロ　白　３Ｌ	6	0	6	10	10	ZZ-1
21673	153967	153967	　ミラヴァル　ロゼ　７５０ｍｌ	5	0	5	10	10	ZZ-1
21708	154495	154495	　ＬＬ　ボーヌ　ヴィーニュフランシュ　７５０ｍｌ	5	0	5	10	10	ZZ-1
23659	155030	155030	　ロジャーグラート　カヴァ　ドゥミセック　７５０ｍｌ	5	0	5	10	10	ZZ-1
27478	155893	155893	　マム　アイスエクストラ　７５０ｍｌ	5	0	5	10	10	ZZ-1
29597	211203	211203	　アサヒ　スタイルバランス　グレープフルーツテイスト３５０ｍｌ	5	0	5	327	10	Z-0-0
35655	157904	157904	　　イエローテイル　カベルネソービニヨン　１８７ｍｌ	5	0	5	10	10	ZZ-1
35681	158136	158136	　ビオンタ　アルバリーニョ　７５０ｍｌ	5	0	5	10	10	ZZ-1
37352	112294	112294	　小浜酒造上撰わかさ１．８Ｌ	5	0	5	327	10	Z-0-0
37375	112426	112426	　一乃谷純米酒　純７２０ｍｌ	5	0	5	10	10	ZZ-1
38901	112586	112586	×真名鶴懐石本醸造　吟撰７２０ｍｌ	5	0	5	10	10	ZZ-1
