status,source,item_code,item_name,warehouse_id,ref_id,current_quantity,reserved_quantity,location_id,wms_shelf,expected_oracle_shelf,oracle_shelves,oracle_products
match_one_of_multiple,lot,184432,　白鶴　ぷるぷる梅酒１９０ｍｌ,91,21722,10,0,2746,G06112,G06112|M06307,G06112|M06307,184432000:G06112:0:1021|184432900:M06307::
match,lot,184433,　アサヒ　贅沢搾り　桃３５０ｍｌ,91,21723,60,10,1624,H04102,H04102,H04102,184433000:H04102:0:1021|184433900:H04102::
match,lot,184475,　サントリー　－１９６℃ストロングゼロ　ダブルレモン　３５０ｍｌ,91,55968,18,0,1287,G01107,G01107,G01107,184475000:G01107:0:1021|184475100:G01107::|184475200:G01107::|184475900:G01107::
match,lot,184476,　サントリー　－１９６℃ストロングゼロ　ダブルレモン　５００ｍｌ,91,21725,24,0,1330,G02101,G02101,G02101,184476000:G02101:0:1021|184476100:::|184476120:::|184476900:::|184476930:::
match_one_of_multiple,lot,184480,　アサヒ　すらっと　ＧＦサワー　３５０ｍｌ,91,21726,24,0,2495,Q00000,G01102|Q00000,G01102|Q00000,184480000:Q00000:0:1021|184480900:G01102::
match,lot,184497,　タカラ　カンチューハイ　プレーン　２５０ｍｌ,91,21727,37,0,1308,G01304,G01304,G01304,184497000:G01304:0:1202|184497900:G01304::1202
match_one_of_multiple,lot,184502,　サントリー　ほろよい　もも　３５０ｍｌ,91,21728,26,24,2747,G01207,G01207|G02207,G01207|G02207,184502000:G01207:0:1021|184502900:G02207::
match_one_of_multiple,lot,184502,　サントリー　ほろよい　もも　３５０ｍｌ,91,56602,48,0,2747,G01207,G01207|G02207,G01207|G02207,184502000:G01207:0:1021|184502900:G02207::
match,lot,184525,　キリン　氷結ストロング　シチリア産レモン　糖質ゼロ　３５０ｍｌ,91,21729,34,0,1627,H04105,H04105,H04105,184525000:H04105:0:1330|184525100:H04105::|184525900:H04105::
match,lot,184533,　サントリー　－１９６℃ストロングゼロ　ダブルＧＦ　３５０ｍｌ,91,21730,18,0,1631,H04109,H04109,H04109,184533000:H04109:0:1021|184533100:::|184533900:::
match,lot,184534,　サントリー　－１９６℃ストロングゼロ　ダブルＧＦ　５００ｍｌ,91,21731,36,0,1340,G02201,G02201,G02201,184534000:G02201:0:1021|184534120:::|184534900:::|184534930:::
match,lot,184535,　キリン　氷結ストロング　シチリア産レモン糖類ゼロ　５００ｍｌ,91,21732,48,0,324,N03100,N03100,N03100,184535000::0:1330|184535910:N03100::
match,lot,184536,　キリン　氷結ストロング　グレープフルーツ　糖類ゼロ　３５０ｍｌ,91,21733,27,0,1300,G01209,G01209,G01209,184536000:G01209:0:1330|184536100:G01209::|184536900:G01209::
match,lot,184586,　キリン　氷結　ウメ　３５０ｍｌ,91,21735,50,0,1297,G01205,G01205,G01205,184586000:G01205:0:1330|184586900:G01205::
oracle_no_shelf,lot,184587,　キリン　氷結　ウメ　５００ｍｌ,91,55954,24,0,11,zz1,,,184587000::0:1330|184587900:::
match,lot,184598,　アサヒ　すらっと　アロエ＆ホワイトサワー　３５０ｍｌ,91,21736,238,0,610,C02102,C02102,C02102,184598000:C02102:0:1021|184598900:::
