status,message,real_stock_id,item_id,item_code,item_name,current_quantity,reserved_quantity,parent_available,pickable_available,missing_pickable_qty,patch_lot_id,patch_lot_location_id,pickable_current,missing_current_qty,patch_lot_current_before,patch_lot_reserved_before,patch_qty
skipped,"no active NULL/NULL pickable lot",29559,156631,156631,×カリテラ　レゼルヴァ　シャルドネ　７５０ｍｌ,20,0,20,0,20,,,0,20,,,20
skipped,"no active NULL/NULL pickable lot",29581,156763,156763,×カリテラ　レセルヴァ　シャルドネ　３７５ｍｌ,20,0,20,0,20,,,0,20,,,20
skipped,"no active NULL/NULL pickable lot",50428,182012,182012,　チョーヤ　梅酒　プラＱ　１６０ｍｌ,20,0,20,0,20,,,0,20,,,20
skipped,"no active NULL/NULL pickable lot",33697,157751,157751,　カステルカンブラス　白　７５０ｍｌ,19,0,19,0,19,,,0,19,,,19
skipped,"no active NULL/NULL pickable lot",23745,210000,210000,"部システム ２１０ ",18,0,18,0,18,,,0,18,,,18
skipped,"no active NULL/NULL pickable lot",25603,155406,155406,　アンジュエール　白　７５０ｍｌ,18,0,18,0,18,,,0,18,,,18
skipped,"no active NULL/NULL pickable lot",33691,157659,157659,　カステルカンブラス　赤　７５０ｍｌ,18,0,18,0,18,,,0,18,,,18
dry,,40552,113061,113061,　八海山普通酒１．８Ｌ,19,1,18,0,18,40265,1181,1,18,1,1,18
skipped,"no active NULL/NULL pickable lot",42471,151115,151115,　ＪＡ三方五湖　梅ワイン（ロゼ）　５００ｍｌ,18,0,18,0,18,,,0,18,,,18
skipped,"no active NULL/NULL pickable lot",42481,151165,151165,　白山　霧晴　７５０ｍｌ,18,0,18,0,18,,,0,18,,,18
skipped,"no active NULL/NULL pickable lot",44262,151382,151382,　白山ワイン　ｄａｎｄａｎ　ロゼ　３６０ｍｌ,18,0,18,0,18,,,0,18,,,18
skipped,"no active NULL/NULL pickable lot",44363,171751,171751,　富久駒一筆啓上　柚子の酒５００ｍｌ（ケース無し）,18,0,18,0,18,,,0,18,,,18
skipped,"no active NULL/NULL pickable lot",46142,152670,152670,　ベンド　シャルドネ　７５０ｍｌ,18,0,18,0,18,,,0,18,,,18
skipped,"no active NULL/NULL pickable lot",48331,173015,173015,　白鹿　酒蔵割烹酒パック２Ｌ,18,0,18,0,18,,,0,18,,,18
skipped,"no active NULL/NULL pickable lot",48344,181033,181033,　万上　本みりん　割烹　１．８Ｌ,18,0,18,0,18,,,0,18,,,18
skipped,"no active NULL/NULL pickable lot",23593,122895,122895,　２５°本格芋焼酎　伊七郎　１．８Ｌ,17,0,17,0,17,,,0,17,,,17
skipped,"no active NULL/NULL pickable lot",23685,155166,155166,　サントリー　ポンパドール　ライチ　７５０ｍｌ,17,0,17,0,17,,,0,17,,,17
skipped,"no active NULL/NULL pickable lot",39030,224273,224273,　丸味食品　７種のミックスナッツ５００ｇ,17,0,17,0,17,,,0,17,,,17
skipped,"no active NULL/NULL pickable lot",25564,123569,123569,　２５°いいちこ　深薫１．８Ｌ（麦）,16,0,16,0,16,,,0,16,,,16
