status,message,direction,mode,real_stock_id,warehouse_id,warehouse_code,item_id,item_code,item_name,real_current,real_reserved,real_available,pickable_available,delta,applied_qty,lot_ids,location_id,location_code,location_source
updated,,decrease,decrease,15016,7,7,185376,185376,　タカラ　焼酎ハイボール　宮崎産日向夏割り３５０ｍｌ,9,0,9,13,-4,4,15016,,,
updated,,decrease,decrease,15026,7,7,185524,185524,　キリン　氷結　無糖レモン　Ａｌｃ．４％　３５０ｍｌ,139,0,139,143,-4,4,15026,,,
updated,,decrease,decrease,15029,7,7,185545,185545,　タカラ　焼酎ハイボール　キレの５°レモン３５０ｍｌ,199,0,199,203,-4,4,15029,,,
updated,,decrease,decrease,15065,4,4,211407,211407,　サンガリア　伊賀の天然水　強炭酸水５００ｍｌＰＥＴ,66,0,66,70,-4,4,15065,,,
updated,,decrease,decrease,15088,4,4,211790,211790,　アサヒ　スタイルバランス　シャルドネスパークリング３５０ｍｌ,24,0,24,28,-4,4,15088,,,
updated,,decrease,decrease,15089,4,4,211791,211791,　ＡＢインベブ　バドワイザー　ゼロ３５５ｍｌ,9,0,9,13,-4,4,15089,,,
updated,,decrease,decrease,15092,4,4,211827,211827,　キリン　グリーンズフリー　小瓶３３４ｍｌ,56,0,56,60,-4,4,15092,,,
updated,,decrease,decrease,15101,4,4,211935,211935,　サッポロ　濃い搾りグレフルサワー　ノンアルコール３５０ｍｌ,9,0,9,13,-4,4,15101,,,
updated,,decrease,decrease,15112,4,4,211973,211973,　サントリー　オールフリー　レモン＆ライム３５０ｍｌ,41,0,41,45,-4,4,15112,,,
updated,,decrease,decrease,15124,4,4,222988,222988,　小倉秋一商店　焼めざし６２ｇ,3,0,3,7,-4,4,15124,,,
updated,,decrease,decrease,15125,4,4,222989,222989,　小倉秋一商店　焼うるめ７２ｇ,0,0,0,4,-4,4,15125,,,
updated,,decrease,decrease,15138,4,4,223487,223487,　山本珈琲　ザ・プロブレンドダークロースト　粉６００ｇ,18,0,18,22,-4,4,15138,,,
updated,,decrease,decrease,15139,4,4,223495,223495,　ウエスティンカフェ　マイルドブレンド２００ｇ,24,0,24,28,-4,4,15139,,,
updated,,decrease,decrease,15146,4,4,224062,224062,　共同食品　マヨイーカ１０３ｇ,1,0,1,5,-4,4,15146,,,
updated,,decrease,decrease,15152,4,4,224085,224085,　末広フーズ　焼ししゃも５０ｇ,19,0,19,23,-4,4,15152,,,
updated,,decrease,decrease,15164,4,4,224121,224121,　末広フーズナッツ＆フィッシュ８５ｇバンドル,0,0,0,4,-4,4,15164,,,
updated,,decrease,decrease,15184,4,4,224189,224189,　丸味食品　ピスタチオ２９０ｇ,5,0,5,9,-4,4,15184,,,
updated,,decrease,decrease,15231,4,4,247706,247706,　ノースカラーズ　純国産　ポテトチップス　柚子５３ｇ,25,0,25,29,-4,4,15231,,,
updated,,decrease,decrease,15251,4,4,287442,287442,　オールドエルパソ　タコシーズニング３０ｇ,11,0,11,15,-4,4,15251,,,
updated,,decrease,decrease,34135,8,8,246417,246417,　福井県産　越前鶏もも串　３０ｇ１０本,12,0,12,16,-4,4,33961,,,
updated,,decrease,decrease,34301,9,9,181094,181094,　サントリー　－１９６無糖　オレンジ＆レモン３５０ｍｌ,25,0,25,29,-4,4,34127,,,
updated,,decrease,decrease,34308,9,9,181122,181122,　キリン　氷結　ｍｏｔｔａｉｎａｉ　浜なし３５０ｍｌ,33,0,33,37,-4,4,34134,,,
updated,,decrease,decrease,34309,9,9,181157,181157,　サントリー　こだわり酒場のタコハイ　つぶれ梅３５０ｍｌ,30,0,30,34,-4,4,34135,,,
updated,,decrease,decrease,34311,9,9,181187,181187,　コカ・コーラ　檸檬堂　甘くない檸檬堂　無糖　レモンとすだち３５０ｍｌ,65,0,65,69,-4,4,34137,,,
updated,,decrease,decrease,34336,9,9,181353,181353,　サントリー　ＴＨＥ　ＰＥＥＬ　レモン　ＡＬＣ．７％　３５０ｍｌ,53,0,53,57,-4,4,34162,,,
updated,,decrease,decrease,34348,9,9,181376,181376,　サントリー　－１９６無糖　桃ヨーグリート７％５００ｍｌ,13,0,13,17,-4,4,34174,,,
updated,,decrease,decrease,34349,9,9,181377,181377,　サントリー　－１９６無糖　マンゴーヨーグリート４％３５０ｍｌ,29,0,29,33,-4,4,34175,,,
updated,,decrease,decrease,34351,9,9,181379,181379,　サントリー　こだわり酒場のレモンサワー　しびレモン３５０ｍｌ,23,0,23,27,-4,4,34177,,,
updated,,decrease,decrease,34381,9,9,244218,244218,　藤原製麺　北海道二夜干しラーメン　函館塩１１１ｇ,2,0,2,6,-4,4,34207,,,
updated,,decrease,decrease,34940,11,11,284954,284954,　北海道ダイニングキッチン　北海道　コーンポタージュ６０ｇ,14,0,14,18,-4,4,34766,,,
updated,,decrease,decrease,34946,11,11,286067,286067,　国産　親どり　もも串　２５ｇ２５本,3,0,3,7,-4,4,34772|54121,,,
updated,,decrease,decrease,34972,11,11,286789,286789,　モモ串（生）２３ｇ（タイ）１８本,10,0,10,14,-4,4,34798,,,
updated,,decrease,decrease,34996,11,11,287086,287086,　丸味食品　柿ピー１８０ｇ,7,0,7,11,-4,4,34822,,,
updated,,decrease,decrease,35083,21,21,123455,123455,　２５°二階堂　吉四六の故郷９００ｍｌ（麦）,67,0,67,71,-4,4,34909,,,
updated,,decrease,decrease,35130,21,21,156052,156052,　デルスール　ソービニヨン　ブラン　７５０ｍｌ,4,0,4,8,-4,4,34956,,,
updated,,decrease,decrease,35192,21,21,211269,211269,　ウィルキンソン　ジンジャーエール瓶１９０ｍｌ,63,0,63,67,-4,4,35018,,,
updated,,decrease,decrease,35214,21,21,211598,211598,　コカコーラ　ファンタ　ふるふるシェイカー１８０ｍｌ,12,0,12,16,-4,4,35040,,,
updated,,decrease,decrease,35230,21,21,246417,246417,　福井県産　越前鶏もも串　３０ｇ１０本,17,0,17,21,-4,4,35056,,,
updated,,decrease,decrease,35252,21,21,287410,287410,　味源　酒泥棒　大葉にんにく味７４ｇ,37,0,37,41,-4,4,35078,,,
